Category,City,Title,Rating,TimesRated,Address,Phone,Instagram
עיצוב שיער,תל אביב,קובי ואלי בורוכוב,9.2,201 ביקורות,"בן יהודה 71, תל אביב יפו",050-9707075,https://www.instagram.com/Kobieliborochov/
עיצוב שיער,תל אביב,"אריאל עיצוב שיער
מנוהל",9.2,107 ביקורות,"טאגור 55, תל אביב יפו",052-7253725,https://www.instagram.com/ariel_hair_master/
עיצוב שיער,תל אביב,"צ'ימי עיצוב שיער
מנוהל",9.2,147 ביקורות,"בוגרשוב 68, תל אביב יפו",03-6293430,
עיצוב שיער,תל אביב,"המספרה by shimi
מנוהל",9.2,138 ביקורות,"המלך ג'ורג' 88, תל אביב יפו",054-6818228,https://www.instagram.com/hamasperabys/
עיצוב שיער,תל אביב,"מוטיה רובין
מנוהל",9.2,147 ביקורות,"יגאל אלון 159, תל אביב יפו (בית פנינת איילון)",050-4328580,https://www.instagram.com/Motierubinsalon/
עיצוב שיער,תל אביב,"דניאל עיצוב שיער
מנוהל",9.2,34 ביקורות,"יהודה המכבי 58, תל אביב יפו",052-3411191,
עיצוב שיער,תל אביב,"אורן ציוני עיצוב שיער
מנוהל",9.2,114 ביקורות,"אבן גבירול 1, תל אביב יפו",03-6855060,
עיצוב שיער,תל אביב,"ארטיום קבנצקי
מנוהל",9.2,57 ביקורות,"דורון 21, תל אביב יפו",052-4307221,https://www.instagram.com/artyomkavnatsky/
עיצוב שיער,תל אביב,"רוני מספרה
מנוהל",9.2,65 ביקורות,"נחל הבשור 1, תל אביב יפו",03-5180318,
עיצוב שיער,תל אביב,"ארז שרביט מעצב שיער
מנוהל",9.2,110 ביקורות,"דיזנגוף 322, תל אביב יפו",03-5445393,https://www.instagram.com/Erezsharvit_hairdesign/
עיצוב שיער,תל אביב,"נועם מזור
מנוהל",9.1,98 ביקורות,"ברודצקי 15, תל אביב יפו",03-6423222,https://www.instagram.com/noam_mazor1/
עיצוב שיער,תל אביב,"Babi Real Hair
מנוהל",9.1,91 ביקורות,"מאוריציו ויטלה 9, תל אביב יפו",052-3320431,https://www.instagram.com/Babi_realhair/
עיצוב שיער,תל אביב,אריק מאיוסט,9.1,174 ביקורות,"כ""ג יורדי הסירה 10, תל אביב יפו",03-6020372,https://www.instagram.com/EricMayost/
עיצוב שיער,תל אביב,ברוך סטייל,9.1,83 ביקורות,"דרך קיבוץ גלויות 93, תל אביב יפו",03-6877525,
עיצוב שיער,תל אביב,"Leeor Hair To Home P h d
מנוהל",9.1,118 ביקורות,"פנקס 4, תל אביב יפו",054-8015412,https://www.instagram.com/Leeor_hair_to_home_phd/
עיצוב שיער,תל אביב,"יהונתן יעיש
מנוהל",9.1,123 ביקורות,"דיזנגוף 225, תל אביב יפו",077-4007229,https://www.instagram.com/Yonatanyaeish/
עיצוב שיער,תל אביב,מירון מזרחי,9.1,76 ביקורות,"דרך השלום 71, תל אביב יפו",03-7323867,
עיצוב שיער,תל אביב,"יקי גולברי
מנוהל",9.1,207 ביקורות,"אופנהיימר 13, תל אביב יפו",03-6410876,https://www.instagram.com/Ygolbary/
עיצוב שיער,תל אביב,"Barber Shop
מנוהל",9.1,908 ביקורות,"דיזנגוף 229, תל אביב יפו",03-5375553,
עיצוב שיער,תל אביב,"NS Hair Studio
מנוהל",9.1,106 ביקורות,"שמואל תמיר 11, תל אביב יפו",050-7272335,https://www.instagram.com/NS.Hair.Studio/
עיצוב שיער,תל אביב,ברנס אורן,9.1,62 ביקורות,"יהודה המכבי 9, תל אביב יפו",03-5441106,
עיצוב שיער,תל אביב,"אריק
מנוהל",9.1,62 ביקורות,"פרישמן 17, תל אביב יפו",03-5243511,
עיצוב שיער,תל אביב,"BarberBoss
מנוהל",9.1,281 ביקורות,"המלך ג'ורג' 9, תל אביב יפו",03-5236666,https://www.instagram.com/BarberBoss/
עיצוב שיער,תל אביב,"אסף בן הרוש
מנוהל",9.1,162 ביקורות,"וולטר מוזס, תל אביב יפו",03-9074104,
עיצוב שיער,תל אביב,"עומרי רשף עיצוב שיער
מנוהל",9.1,109 ביקורות,"מונטיפיורי 16, תל אביב יפו (אקרופוליס החדשה)",052-5211234,https://www.instagram.com/omri_reshef_hair_salon/
עיצוב שיער,תל אביב,"מספרת ג'ונסון
מנוהל",9.1,1091 ביקורות,"בנבנישתי 17, תל אביב יפו",03-5016262,https://www.instagram.com/jhonson_barbershop/
עיצוב שיער,תל אביב,"שי שמילי מעצב שיער
מנוהל",9.1,80 ביקורות,"נחלת יצחק 30, תל אביב יפו",054-2173488,https://www.instagram.com/shayshamili_hairstylist/
עיצוב שיער,תל אביב,"Liroy barbershop
מנוהל",9.1,91 ביקורות,"הרב יצחק ידידיה פרנקל 11, תל אביב יפו",050-9916265,https://www.instagram.com/Liroys.barbershop/
עיצוב שיער,תל אביב,"Shmuel barber shop
מנוהל",9.1,81 ביקורות,"שדרות שאול המלך 41, תל אביב יפו",03-6958723,
עיצוב שיער,תל אביב,"ויקי שלג עיצוב שיער
מנוהל",9,159 ביקורות,"בן יהודה 188, תל אביב יפו",050-4500943,https://www.instagram.com/Vikisheleg_hair/
עיצוב שיער,תל אביב,"יגאל ויצמן
מנוהל",9,62 ביקורות,"הרוגי מלכות 7, תל אביב יפו",03-6476551,
עיצוב שיער,תל אביב,"Freshmen Barber and Co
מנוהל",9,75 ביקורות,"דרך מנחם בגין 144, תל אביב יפו",03-7433035,https://www.instagram.com/freshmenbarbers/
עיצוב שיער,תל אביב,"מספרת גזוז
מנוהל",9,205 ביקורות,"פרישמן 88, תל אביב יפו",03-5224736,
עיצוב שיער,תל אביב,Itzik Dabach עיצוב שיער,9,86 ביקורות,"מח""ל 36, תל אביב יפו",050-4400162,
עיצוב שיער,תל אביב,"רמי גילוחה
מנוהל",9,167 ביקורות,"נס לגויים 1, תל אביב יפו",03-6835762,
עיצוב שיער,תל אביב,"המספרה של שימי ורונית
מנוהל",9,42 ביקורות,"טאגור 32, תל אביב יפו",054-6903310,
עיצוב שיער,תל אביב,"Everyone
מנוהל",9,48 ביקורות,"ויטל 12, תל אביב יפו",טלפון,https://www.instagram.com/everyonetlv/
עיצוב שיער,תל אביב,"מספרת יוני סלסי
מנוהל",9,132 ביקורות,"שינקין 29, תל אביב יפו",03-7169997,https://www.instagram.com/Yonisalasihair/
עיצוב שיער,תל אביב,מספרת מוטי,9,93 ביקורות,"לה גווארדיה 21, תל אביב יפו",03-5370521,
עיצוב שיער,תל אביב,קטצוץ,9,355 ביקורות,"דרך השלום 101, תל אביב יפו",03-7322255,
עיצוב שיער,תל אביב,"אהרון משייב עיצוב שיער
מנוהל",9,166 ביקורות,"דרך קיבוץ גלויות 106, תל אביב יפו",03-6160088,https://www.instagram.com/aharon_masheev/
עיצוב שיער,תל אביב,"מואיש חן
מנוהל",9,42 ביקורות,"בוגרשוב 20, תל אביב יפו",03-6299918,https://www.instagram.com/Moishchen/
עיצוב שיער,תל אביב,"תוספות שיער Top Hair
מנוהל",9,21 ביקורות,"דיזנגוף 99, תל אביב יפו",054-4545620,https://www.instagram.com/amiyehezkel/
עיצוב שיער,תל אביב,"אלירן אזולאי
מנוהל",9,141 ביקורות,"דיזנגוף 50, תל אביב יפו (דיזנגוף סנטר)",050-4777705,https://www.instagram.com/eliranazulayhairdesigner/
עיצוב שיער,תל אביב,"עידן פור עיצוב שיער
מנוהל",8.9,86 ביקורות,"דיזנגוף 310, תל אביב יפו",03-6139338,https://www.instagram.com/idanpur_hair_design/
עיצוב שיער,תל אביב,Cuts You Up,8.9,298 ביקורות,"רבי אדא 2, תל אביב יפו",03-5532323,
עיצוב שיער,תל אביב,"fade room barbershop
מנוהל",9,163 ביקורות,"הרב יצחק ידידיה פרנקל 29, תל אביב יפו",050-3008804,https://www.instagram.com/Faderoom.barbershop/
עיצוב שיער,תל אביב,"ראשם
מנוהל",8.9,89 ביקורות,"דיזנגוף סנטר, תל אביב יפו",03-6200476,
עיצוב שיער,תל אביב,ג'ונתן מעצב שיער,8.9,152 ביקורות,"פרישמן 13, תל אביב יפו",03-5220486,
עיצוב שיער,תל אביב,"Reni עיצוב שיער
מנוהל",8.9,105 ביקורות,"פלורנטין 38, תל אביב יפו",054-7752201,https://www.instagram.com/Reni.hairstylist/
עיצוב שיער,תל אביב,סער ברוך,8.9,47 ביקורות,"אבן גבירול 93, תל אביב יפו",03-5248896,
עיצוב שיער,תל אביב,"מירו את ניסו
מנוהל",8.9,62 ביקורות,"שדרות שאול המלך 2, תל אביב יפו",03-6953829,https://www.instagram.com/yaron_dahan.salon/
עיצוב שיער,תל אביב,"טרנזישן Transition
מנוהל",8.9,103 ביקורות,"בן יהודה 220, תל אביב יפו",03-9494614,
עיצוב שיער,תל אביב,"רונצ'ו מספרה רמת החייל
מנוהל",8.9,175 ביקורות,"ראול ולנברג 24, תל אביב יפו (מגדלי זיו)",03-6479956,
עיצוב שיער,תל אביב,"יניב וערן קצב
מנוהל",8.9,125 ביקורות,"אבן גבירול 168, תל אביב יפו",03-6052224,
עיצוב שיער,תל אביב,גאולה עיצוב שיער,8.9,28 ביקורות,"שדרות המעפילים 34, תל אביב יפו",050-5411414,
עיצוב שיער,תל אביב,"Highlights
מנוהל",8.9,108 ביקורות,"יהודה המכבי 1, תל אביב יפו",03-6020691,https://www.instagram.com/highlightstlv/
עיצוב שיער,תל אביב,"אילן גורי
מנוהל",8.9,35 ביקורות,"בן יהודה 189, תל אביב יפו",052-2233555,
עיצוב שיער,תל אביב,"מיכלי בוטיק שיער
מנוהל",8.9,12 ביקורות,"הרב אלנקווה 33, תל אביב יפו",054-6683070,
עיצוב שיער,תל אביב,"Sol hair style
מנוהל",8.9,94 ביקורות,"אברבנאל 45, תל אביב יפו",050-7854166,
עיצוב שיער,תל אביב,"אילן רובין
מנוהל",8.9,97 ביקורות,"ארלוזורוב 41, תל אביב יפו",03-5236923,
עיצוב שיער,תל אביב,"חיים זיו
מנוהל",8.9,132 ביקורות,"בן יהודה 196, תל אביב יפו",03-5221779,https://www.instagram.com/haimziv_hairstyle/
עיצוב שיער,תל אביב,אבנר מלכה,8.9,181 ביקורות,"ביילינסון 1, תל אביב יפו",072-3226999,
עיצוב שיער,תל אביב,"רן חפץ עיצוב שיער
מנוהל",8.9,53 ביקורות,"לאה גולדברג 3, תל אביב יפו",050-5113333,https://www.instagram.com/Ran_chefetz/
עיצוב שיער,תל אביב,מספרת עדי יהודה,8.9,53 ביקורות,"בוגרשוב 29, תל אביב יפו",03-5250363,
עיצוב שיער,תל אביב,"מספרת מלי וסאמיה
מנוהל",8.9,32 ביקורות,"יפת 47, תל אביב יפו",03-6835167,
עיצוב שיער,תל אביב,"המספרה של אנה
מנוהל",8.9,112 ביקורות,"שלמה המלך 29, תל אביב יפו",03-6203353,https://www.instagram.com/annahaircreator/
עיצוב שיער,תל אביב,"Jamili Barbershop
מנוהל",8.9,744 ביקורות,"בן יהודה 194, תל אביב יפו",053-3457170,https://www.instagram.com/barbershopjamili/
עיצוב שיער,תל אביב,"קונדלראסטה
מנוהל",8.9,325 ביקורות,"המלך ג'ורג' 4, תל אביב יפו",03-6207045,https://www.instagram.com/kundala_rasta/
עיצוב שיער,תל אביב,יוסי ממן,8.9,55 ביקורות,"בן יהודה 234, תל אביב יפו",03-5441737,
עיצוב שיער,תל אביב,,,,,,
עיצוב שיער,תל אביב,"סטודיו חפיף
מנוהל",9.7,1405 ביקורות,"אבן גבירול 13, תל אביב יפו",03-6858282,https://www.instagram.com/Studiohafif/
עיצוב שיער,תל אביב,"יאקו ברברשופ
מנוהל",9.7,364 ביקורות,"בית רובינשטיין, תל אביב יפו",054-7717405,https://www.instagram.com/Barbero_tlv/
עיצוב שיער,תל אביב,"איציק אואקיל עיצוב שיער
מנוהל",9.6,894 ביקורות,"שדרות יהודית 25, תל אביב יפו",03-5344110,https://www.instagram.com/izikoakil/
עיצוב שיער,תל אביב,"רפאל המספרה
מנוהל",9.6,542 ביקורות,"שינקין 55, תל אביב יפו",050-4581416,
עיצוב שיער,תל אביב,"hair couture nyc המספרה הניו יורקית
מנוהל",9.5,1089 ביקורות,"יהודה המכבי 87, תל אביב יפו",072-2487048,https://www.instagram.com/hair_couture_nyc/
עיצוב שיער,תל אביב,"ראש גדול עיצוב שיער
מנוהל",9.5,707 ביקורות,"דרך השלום 101, תל אביב יפו",03-7310791,
עיצוב שיער,תל אביב,"אלי ביטון מסטהייר
מנוהל",9.5,114 ביקורות,"בוגרשוב 62, תל אביב יפו",03-5259797,https://www.instagram.com/Eli_bitton_musthair/
עיצוב שיער,תל אביב,"חוליגן
מנוהל",9.5,449 ביקורות,"דיזנגוף 146, תל אביב יפו",054-4599940,https://www.instagram.com/hooliganTLV/
עיצוב שיער,תל אביב,"Arnolds
מנוהל",9.4,322 ביקורות,"מעון 28, תל אביב יפו",052-4533557,https://www.instagram.com/Arnold.hair/
עיצוב שיער,תל אביב,"מאיר קידר
מנוהל",9.4,178 ביקורות,"בן יהודה 226, תל אביב יפו",03-5461371,
עיצוב שיער,תל אביב,"יריב עיצוב בשיער
מנוהל",9.4,284 ביקורות,"קהילת פאדובה 20, תל אביב יפו",052-6567325,https://www.instagram.com/Yariv.hair.cut/
עיצוב שיער,תל אביב,"עיצוב שיער סידי
מנוהל",9.4,128 ביקורות,"זמנהוף 7, תל אביב יפו",052-7837283,
עיצוב שיער,תל אביב,"אומן השיער ליאור ניסימוב
מנוהל",9.4,513 ביקורות,"שדרות המעפילים 31, תל אביב יפו",03-6822666,
עיצוב שיער,תל אביב,"סטיילי עיצוב שיער
מנוהל",9.5,135 ביקורות,"המלך ג'ורג' 11, תל אביב יפו",055-7228445,https://www.instagram.com/stylytlv/
עיצוב שיער,תל אביב,מספרת רועי ראובני,9.4,299 ביקורות,"בזל 33, תל אביב יפו",052-6968697,
עיצוב שיער,תל אביב,"מספרת שי גדון
מנוהל",9.3,102 ביקורות,"שינקין 61, תל אביב יפו",03-6855467,https://www.instagram.com/Shaygadon/
עיצוב שיער,תל אביב,"עומר שמעוני
מנוהל",9.3,1124 ביקורות,"מגדלי אלון, תל אביב יפו",050-6551156,https://www.instagram.com/omershimoni_hairsalon/
עיצוב שיער,תל אביב,"שופוני ברברשופ
מנוהל",9.4,435 ביקורות,"פרישמן 86, תל אביב יפו",052-5472469,https://www.instagram.com/shufooni_barbershop/
עיצוב שיער,תל אביב,"רם סולן
מנוהל",9.3,140 ביקורות,"דיזנגוף 46, תל אביב יפו",050-2236630,https://www.instagram.com/Ram.solan/
עיצוב שיער,תל אביב,"אריאל ישראלוב עיצוב שיער
מנוהל",9.3,173 ביקורות,"דיזנגוף 287, תל אביב יפו",050-2425230,
עיצוב שיער,תל אביב,יעקב בנוז מעצב שיער,9.3,78 ביקורות,"המלך ג'ורג' 84, תל אביב יפו",03-6059055,
עיצוב שיער,תל אביב,"Mipelo
מנוהל",9.3,222 ביקורות,"המכבי 13, תל אביב יפו",058-7970995,https://www.instagram.com/Mipelo_tlv/
עיצוב שיער,תל אביב,"Nini Hair
מנוהל",9.3,150 ביקורות,"החשמונאים 78, תל אביב יפו",03-5611363,https://www.instagram.com/nini_hair1/
עיצוב שיער,תל אביב,"אבי מלכה
מנוהל",9.3,158 ביקורות,"פרישמן 45, תל אביב יפו",03-5222381,https://www.instagram.com/AVIMALKA1/
עיצוב שיער,תל אביב,"רועי אמזלג
מנוהל",9.3,172 ביקורות,"ה' באייר 64, תל אביב יפו",03-6432303,https://www.instagram.com/roeeamzaleg/
עיצוב שיער,תל אביב,"ברק שושן עיצוב שיער
מנוהל",9.3,106 ביקורות,"פרישמן 32, תל אביב יפו",054-4677079,https://www.instagram.com/Barak_shoshan/
עיצוב שיער,תל אביב,"CUT The Bullshit
מנוהל",9.3,102 ביקורות,"דרך מנחם בגין 46, תל אביב יפו",055-7201915,https://www.instagram.com/Cut_the_bullshitt/
עיצוב שיער,תל אביב,"Snirmeir Barbershop
מנוהל",9.3,145 ביקורות,"דיזנגוף 130, תל אביב יפו",050-6848389,https://www.instagram.com/snirmeir/
עיצוב שיער,תל אביב,אומנות השיער,9.2,77 ביקורות,"לוריא 6, תל אביב יפו",077-2011364,
עיצוב שיער,תל אביב,"אסי מדי עיצוב שיער
מנוהל",9.2,102 ביקורות,"אבן גבירול 121, תל אביב יפו",052-8020825,https://www.instagram.com/assimady/
עיצוב שיער,תל אביב,קובי ואלי בורוכוב,9.2,201 ביקורות,"בן יהודה 71, תל אביב יפו",050-9707075,https://www.instagram.com/Kobieliborochov/
עיצוב שיער,תל אביב,"אריאל עיצוב שיער
מנוהל",9.2,107 ביקורות,"טאגור 55, תל אביב יפו",052-7253725,https://www.instagram.com/ariel_hair_master/
עיצוב שיער,תל אביב,"צ'ימי עיצוב שיער
מנוהל",9.2,147 ביקורות,"בוגרשוב 68, תל אביב יפו",03-6293430,
עיצוב שיער,תל אביב,"המספרה by shimi
מנוהל",9.2,138 ביקורות,"המלך ג'ורג' 88, תל אביב יפו",054-6818228,https://www.instagram.com/hamasperabys/
עיצוב שיער,תל אביב,"מוטיה רובין
מנוהל",9.2,147 ביקורות,"יגאל אלון 159, תל אביב יפו (בית פנינת איילון)",050-4328580,https://www.instagram.com/Motierubinsalon/
עיצוב שיער,תל אביב,"דניאל עיצוב שיער
מנוהל",9.2,34 ביקורות,"יהודה המכבי 58, תל אביב יפו",052-3411191,
עיצוב שיער,תל אביב,"אורן ציוני עיצוב שיער
מנוהל",9.2,114 ביקורות,"אבן גבירול 1, תל אביב יפו",03-6855060,
עיצוב שיער,תל אביב,"ארטיום קבנצקי
מנוהל",9.2,57 ביקורות,"דורון 21, תל אביב יפו",052-4307221,https://www.instagram.com/artyomkavnatsky/
עיצוב שיער,תל אביב,"רוני מספרה
מנוהל",9.2,65 ביקורות,"נחל הבשור 1, תל אביב יפו",03-5180318,
עיצוב שיער,תל אביב,"ארז שרביט מעצב שיער
מנוהל",9.2,110 ביקורות,"דיזנגוף 322, תל אביב יפו",03-5445393,https://www.instagram.com/Erezsharvit_hairdesign/
עיצוב שיער,תל אביב,"נועם מזור
מנוהל",9.1,98 ביקורות,"ברודצקי 15, תל אביב יפו",03-6423222,https://www.instagram.com/noam_mazor1/
עיצוב שיער,תל אביב,"Babi Real Hair
מנוהל",9.1,91 ביקורות,"מאוריציו ויטלה 9, תל אביב יפו",052-3320431,https://www.instagram.com/Babi_realhair/
עיצוב שיער,תל אביב,אריק מאיוסט,9.1,174 ביקורות,"כ""ג יורדי הסירה 10, תל אביב יפו",03-6020372,https://www.instagram.com/EricMayost/
עיצוב שיער,תל אביב,ברוך סטייל,9.1,83 ביקורות,"דרך קיבוץ גלויות 93, תל אביב יפו",03-6877525,
עיצוב שיער,תל אביב,"Leeor Hair To Home P h d
מנוהל",9.1,118 ביקורות,"פנקס 4, תל אביב יפו",054-8015412,https://www.instagram.com/Leeor_hair_to_home_phd/
עיצוב שיער,תל אביב,"יהונתן יעיש
מנוהל",9.1,123 ביקורות,"דיזנגוף 225, תל אביב יפו",077-4007229,https://www.instagram.com/Yonatanyaeish/
עיצוב שיער,תל אביב,מירון מזרחי,9.1,76 ביקורות,"דרך השלום 71, תל אביב יפו",03-7323867,
עיצוב שיער,תל אביב,"יקי גולברי
מנוהל",9.1,207 ביקורות,"אופנהיימר 13, תל אביב יפו",03-6410876,https://www.instagram.com/Ygolbary/
עיצוב שיער,תל אביב,"Barber Shop
מנוהל",9.1,908 ביקורות,"דיזנגוף 229, תל אביב יפו",03-5375553,
עיצוב שיער,תל אביב,"NS Hair Studio
מנוהל",9.1,106 ביקורות,"שמואל תמיר 11, תל אביב יפו",050-7272335,https://www.instagram.com/NS.Hair.Studio/
עיצוב שיער,תל אביב,ברנס אורן,9.1,62 ביקורות,"יהודה המכבי 9, תל אביב יפו",03-5441106,
עיצוב שיער,תל אביב,"אריק
מנוהל",9.1,62 ביקורות,"פרישמן 17, תל אביב יפו",03-5243511,
עיצוב שיער,תל אביב,"BarberBoss
מנוהל",9.1,281 ביקורות,"המלך ג'ורג' 9, תל אביב יפו",03-5236666,https://www.instagram.com/BarberBoss/
עיצוב שיער,תל אביב,"אסף בן הרוש
מנוהל",9.1,162 ביקורות,"וולטר מוזס, תל אביב יפו",03-9074104,
עיצוב שיער,תל אביב,"עומרי רשף עיצוב שיער
מנוהל",9.1,109 ביקורות,"מונטיפיורי 16, תל אביב יפו (אקרופוליס החדשה)",052-5211234,https://www.instagram.com/omri_reshef_hair_salon/
עיצוב שיער,תל אביב,"מספרת ג'ונסון
מנוהל",9.1,1091 ביקורות,"בנבנישתי 17, תל אביב יפו",03-5016262,https://www.instagram.com/jhonson_barbershop/
עיצוב שיער,תל אביב,"שי שמילי מעצב שיער
מנוהל",9.1,80 ביקורות,"נחלת יצחק 30, תל אביב יפו",054-2173488,https://www.instagram.com/shayshamili_hairstylist/
עיצוב שיער,תל אביב,"Liroy barbershop
מנוהל",9.1,91 ביקורות,"הרב יצחק ידידיה פרנקל 11, תל אביב יפו",050-9916265,https://www.instagram.com/Liroys.barbershop/
עיצוב שיער,תל אביב,"Shmuel barber shop
מנוהל",9.1,81 ביקורות,"שדרות שאול המלך 41, תל אביב יפו",03-6958723,
עיצוב שיער,תל אביב,"ויקי שלג עיצוב שיער
מנוהל",9,159 ביקורות,"בן יהודה 188, תל אביב יפו",050-4500943,https://www.instagram.com/Vikisheleg_hair/
עיצוב שיער,תל אביב,"יגאל ויצמן
מנוהל",9,62 ביקורות,"הרוגי מלכות 7, תל אביב יפו",03-6476551,
עיצוב שיער,תל אביב,"Freshmen Barber and Co
מנוהל",9,75 ביקורות,"דרך מנחם בגין 144, תל אביב יפו",03-7433035,https://www.instagram.com/freshmenbarbers/
עיצוב שיער,תל אביב,"מספרת גזוז
מנוהל",9,205 ביקורות,"פרישמן 88, תל אביב יפו",03-5224736,
עיצוב שיער,תל אביב,Itzik Dabach עיצוב שיער,9,86 ביקורות,"מח""ל 36, תל אביב יפו",050-4400162,
עיצוב שיער,תל אביב,"רמי גילוחה
מנוהל",9,167 ביקורות,"נס לגויים 1, תל אביב יפו",03-6835762,
עיצוב שיער,תל אביב,"המספרה של שימי ורונית
מנוהל",9,42 ביקורות,"טאגור 32, תל אביב יפו",054-6903310,
עיצוב שיער,תל אביב,"Everyone
מנוהל",9,48 ביקורות,"ויטל 12, תל אביב יפו",טלפון,https://www.instagram.com/everyonetlv/
עיצוב שיער,תל אביב,"מספרת יוני סלסי
מנוהל",9,132 ביקורות,"שינקין 29, תל אביב יפו",03-7169997,https://www.instagram.com/Yonisalasihair/
עיצוב שיער,תל אביב,מספרת מוטי,9,93 ביקורות,"לה גווארדיה 21, תל אביב יפו",03-5370521,
